"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"226","179","Manny Harris","SG","27","DAL","4","25","-2.2",".239",".133",".267","13.3","29.3","20.9","12.7","0.0","0.0","10.7","35.4","-0.2","0.0","-0.2","-0.364","-15.1","-3.8","-18.8","-0.1"
"227","180","Tobias Harris","PF","24","DET","82","2567","16.9",".568",".295",".213","2.6","15.6","8.8","8.8","1.2","1.3","7.6","21.7","4.0","2.8","6.9",".129","1.1","0.1","1.2","2.1"
"228","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"229","181","Aaron Harrison","SG","22","CHO","5","17","-2.2",".102",".500",".500","0.0","19.5","9.7","22.6","0.0","0.0","0.0","12.9","-0.1","0.0","-0.1","-0.146","-9.6","-2.1","-11.6","0.0"
"230","182","Andrew Harrison","PG","22","MEM","72","1474","8.7",".477",".433",".539","1.7","9.0","5.3","20.0","1.9","1.3","16.0","16.4","0.0","1.5","1.6",".051","-2.4","0.0","-2.5","-0.2"
"231","183","Udonis Haslem","C","36","MIA","17","130","8.4",".524",".130",".652","6.7","24.1","15.3","6.4","1.9","0.6","21.3","12.8","0.0","0.2","0.2",".069","-4.9","1.1","-3.7","-0.1"
"232","184","Spencer Hawes","PF","28","TOT","54","797","15.6",".562",".292",".188","5.3","21.5","13.4","16.5","0.9","3.3","14.0","19.8","0.7","1.0","1.7",".102","-1.2","0.8","-0.5","0.3"
"233","184","Spencer Hawes","PF","28","CHO","35","626","14.8",".545",".252",".156","5.6","20.1","12.8","16.1","1.0","3.6","14.7","19.6","0.3","0.8","1.1",".086","-1.8","1.2","-0.6","0.2"
"234","184","Spencer Hawes","PF","28","MIL","19","171","18.6",".620",".441",".305","4.1","26.3","15.3","17.7","0.6","2.1","11.9","20.3","0.4","0.2","0.6",".160","1.0","-1.0","0.0","0.1"
"235","185","Gordon Hayward","SF","26","UTA","73","2516","22.2",".595",".324",".371","2.3","15.4","9.0","18.2","1.5","0.6","9.4","27.6","7.1","3.3","10.4",".199","4.2","0.0","4.2","4.0"
"236","186","Gerald Henderson","SG","29","PHI","72","1667","10.8",".529",".313",".298","2.2","10.0","6.1","10.5","1.2","0.7","9.0","17.9","1.0","1.0","2.1",".059","-1.8","-1.2","-3.1","-0.5"
"237","187","John Henson","C","26","MIL","58","1123","15.2",".549",".003",".345","9.7","20.8","15.3","7.7","1.3","6.1","12.9","16.7","1.1","1.6","2.7",".114","-2.6","2.4","-0.1","0.5"
"238","188","Juan Hernangomez","PF","21","DEN","62","842","13.4",".595",".502",".341","5.7","18.7","12.3","4.7","1.7","1.1","10.8","14.5","1.2","0.6","1.8",".104","-0.1","-1.2","-1.3","0.1"
"239","189","Willy Hernangomez","C","22","NYK","72","1324","19.0",".566",".032",".269","13.7","27.2","20.4","11.6","1.5","2.2","16.2","20.3","1.8","1.6","3.4",".124","-0.6","0.6","0.0","0.7"
"240","190","Mario Hezonja","SF","21","ORL","65","960","7.2",".452",".438",".152","2.2","14.8","8.3","9.6","1.5","1.2","14.2","18.8","-1.4","0.7","-0.7","-0.033","-4.8","-1.0","-5.8","-0.9"
"241","191","Roy Hibbert","C","30","TOT","48","682","13.6",".614",".000",".510","8.7","16.2","12.4","4.6","0.6","5.9","15.1","14.0","1.0","0.8","1.8",".130","-2.9","1.9","-1.1","0.2"
"242","191","Roy Hibbert","C","30","CHO","42","671","13.5",".613",".000",".521","8.6","16.3","12.5","4.5","0.6","5.8","14.9","14.0","1.0","0.8","1.8",".130","-2.9","1.8","-1.1","0.1"
"243","191","Roy Hibbert","C","30","DEN","6","11","16.3",".667",".000",".000","10.1","10.0","10.0","13.5","0.0","14.1","25.0","15.5","0.0","0.0","0.0",".118","-1.9","5.1","3.2","0.0"
"244","192","Buddy Hield","SG","23","TOT","82","1888","11.8",".540",".493",".099","2.0","13.5","7.8","10.3","1.0","0.4","11.2","21.4","0.0","1.3","1.3",".032","-0.9","-1.9","-2.8","-0.4"
"245","192","Buddy Hield","SG","23","NOP","57","1161","9.9",".502",".511",".070","1.7","13.4","7.5","10.3","0.8","0.5","9.0","20.4","-0.4","0.9","0.5",".019","-1.9","-1.7","-3.6","-0.5"
"246","192","Buddy Hield","SG","23","SAC","25","727","14.9",".600",".466",".145","2.6","13.6","8.2","10.3","1.4","0.3","14.4","22.9","0.4","0.4","0.8",".053","0.8","-2.2","-1.5","0.1"
"247","193","Nene Hilario","C","34","HOU","67","1198","18.9",".630",".023",".496","8.6","16.9","12.8","8.6","2.2","2.7","13.1","19.7","2.5","1.6","4.1",".165","-0.4","0.9","0.5","0.8"
"248","194","George Hill","PG","30","UTA","49","1544","19.3",".599",".384",".323","1.8","10.5","6.2","22.6","1.7","0.6","10.9","23.5","4.0","1.9","5.9",".182","3.8","-0.3","3.6","2.2"
"249","195","Jordan Hill","C","29","MIN","7","47","5.5",".432",".000",".154","19.6","15.1","17.4","0.0","1.1","0.0","22.4","16.8","-0.1","0.0","0.0","-0.033","-6.7","-6.2","-12.9","-0.1"
"250","196","Solomon Hill","SF","25","NOP","80","2374","8.0",".528",".566",".268","2.3","11.4","6.8","8.1","1.5","1.1","13.3","11.5","0.4","2.3","2.7",".055","-1.8","1.5","-0.3","1.0"
"251","197","Darrun Hilliard","SG","23","DET","39","381","5.9",".459",".365",".222","0.6","9.2","4.7","12.3","1.5","0.4","16.8","19.3","-0.6","0.4","-0.2","-0.027","-5.0","-1.1","-6.1","-0.4"
"252","198","Jrue Holiday","PG","26","NOP","67","2190","17.1",".532",".314",".188","2.2","10.6","6.4","35.9","2.2","1.6","16.7","23.5","1.2","2.6","3.8",".084","1.2","0.5","1.7","2.0"
"253","199","Justin Holiday","SG","27","NYK","82","1639","12.7",".549",".507",".149","1.8","13.1","7.4","9.2","2.0","1.5","10.3","16.9","1.3","1.2","2.5",".073","-0.3","-0.8","-1.1","0.4"
"254","200","Rondae Hollis-Jefferson","SF","22","BRK","78","1761","13.7",".517",".124",".467","5.8","21.2","13.6","13.4","2.2","1.9","15.1","18.7","0.4","2.2","2.6",".070","-2.9","1.9","-1.0","0.4"
"255","Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"256","201","Richaun Holmes","C","23","PHI","57","1193","18.6",".611",".187",".250","8.7","20.1","14.4","8.3","1.7","3.7","10.7","18.6","2.2","1.6","3.7",".151","0.2","1.5","1.7","1.1"
"257","202","Rodney Hood","SG","24","UTA","59","1593","12.4",".522",".459",".173","1.2","13.1","7.3","10.1","1.3","0.6","8.3","22.9","0.7","1.9","2.6",".079","-0.3","-0.9","-1.2","0.3"
"258","203","Al Horford","C","30","BOS","68","2193","17.7",".553",".302",".169","4.9","18.6","11.8","24.4","1.2","3.3","11.8","19.7","3.6","2.7","6.3",".138","1.0","2.1","3.1","2.9"
"259","204","Danuel House","SG","23","WAS","1","1","12.2","","","","0.0","100.0","56.4","0.0","0.0","0.0","","0.0","0.0","0.0","0.0",".162","-16.4","-4.4","-20.8","0.0"
"260","205","Dwight Howard","C","31","ATL","74","2199","20.8",".627",".003",".692","15.0","31.7","23.5","7.8","1.4","3.6","17.5","19.2","3.8","4.5","8.3",".181","-0.5","2.8","2.3","2.4"
"261","206","Marcelo Huertas","PG","33","LAL","23","237","9.1",".417",".279",".250","0.9","10.5","5.5","30.8","2.1","0.7","20.1","17.0","-0.2","0.1","-0.1","-0.025","-4.6","-2.4","-7.0","-0.3"
"262","207","Josh Huestis","PF","25","OKC","2","31","27.4",".612",".364",".091","14.3","17.9","16.1","15.5","0.0","10.3","0.0","15.7","0.1","0.0","0.2",".277","3.8","3.3","7.1","0.1"
"263","208","Kris Humphries","PF","31","ATL","56","689","13.6",".514",".252",".383","9.7","22.8","16.4","6.4","1.1","2.6","10.1","17.6","0.6","1.1","1.6",".115","-3.0","0.3","-2.6","-0.1"
"264","209","R.J. Hunter","SG","23","CHI","3","9","-3.2",".000","1.000",".000","0.0","12.1","6.0","0.0","0.0","0.0","0.0","4.8","0.0","0.0","0.0","-0.088","-9.4","-2.1","-11.4","0.0"
"265","210","Serge Ibaka","PF","27","TOT","79","2422","16.4",".566",".323",".127","5.7","19.0","12.2","5.1","0.8","4.2","9.2","20.9","2.5","2.6","5.1",".101","-0.5","0.1","-0.4","1.0"
"266","210","Serge Ibaka","PF","27","ORL","56","1710","17.5",".569",".304",".129","6.2","18.5","12.2","5.8","1.0","4.3","8.2","20.8","2.1","1.7","3.8",".108","-0.1","0.4","0.3","1.0"
"267","210","Serge Ibaka","PF","27","TOR","23","712","13.8",".556",".369",".122","4.6","20.1","12.4","3.3","0.5","4.0","11.7","20.9","0.4","0.8","1.3",".085","-1.5","-0.5","-2.1","0.0"
"268","211","Andre Iguodala","SF","33","GSW","76","1998","14.3",".624",".427",".246","3.0","13.1","8.3","16.7","1.8","1.5","11.2","11.2","4.1","2.9","6.9",".167","1.3","1.7","3.0","2.5"
"269","212","Ersan Ilyasova","PF","29","TOT","82","2142","14.6",".546",".452",".233","5.9","18.8","12.4","11.0","1.3","0.9","10.6","22.2","1.8","2.3","4.1",".091","0.3","-0.7","-0.5","0.8"
